Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 12972.98it/s]
[gpt2/p95] 加载 0.5s  {'temperature': 1.0, 'top_p': 0.95}
[gpt2/p95] merge_sort      600 tok    21.9s   27.4 tok/s  eos=False
[gpt2/p95] binary_search   600 tok    21.8s   27.5 tok/s  eos=False
[gpt2/p95] fibonacci       600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] parse_csv       600 tok    21.6s   27.8 tok/s  eos=False
[gpt2/p95] word_freq       600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] flatten         600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] stack_class     600 tok    21.6s   27.8 tok/s  eos=False
[gpt2/p95] lru_cache       600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] prime_sieve     600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] roman           600 tok    21.7s   27.6 tok/s  eos=False
[gpt2/p95] balanced        600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] transpose       600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] rle             600 tok    21.6s   27.7 tok/s  eos=False
[gpt2/p95] dedup           600 tok    21.7s   27.7 tok/s  eos=False
[gpt2/p95] gcd             600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] quicksort       600 tok    21.5s   27.8 tok/s  eos=False
[gpt2/p95] tree_walk       600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] json_walk       600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] email           600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] temp            600 tok    23.6s   25.4 tok/s  eos=False
[gpt2/p95] reverse_words   600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] anagram         600 tok    21.6s   27.8 tok/s  eos=False
[gpt2/p95] pascal          600 tok    21.6s   27.8 tok/s  eos=False
[gpt2/p95] chunk           600 tok    21.5s   27.9 tok/s  eos=False
[gpt2/p95] 完成 → D:\Test\UR\csrc\ast_ur\data\gen_gpt2_p95.jsonl
