Loading weights:   0%|          | 0/436 [00:00<?, ?it/s]Loading weights: 100%|██████████| 436/436 [00:00<00:00, 6694.43it/s]
[gpt2l] 加载 0.6s
[gpt2l] merge_sort      600 tok   110.9s    5.4 tok/s  eos=False
[gpt2l] binary_search   600 tok   104.0s    5.8 tok/s  eos=False
[gpt2l] fibonacci       600 tok   104.5s    5.7 tok/s  eos=False
[gpt2l] parse_csv       600 tok   104.9s    5.7 tok/s  eos=False
[gpt2l] word_freq       600 tok   104.5s    5.7 tok/s  eos=False
[gpt2l] flatten         600 tok   104.6s    5.7 tok/s  eos=False
[gpt2l] stack_class     600 tok   104.9s    5.7 tok/s  eos=False
[gpt2l] lru_cache       600 tok   104.8s    5.7 tok/s  eos=False
[gpt2l] prime_sieve     600 tok   105.0s    5.7 tok/s  eos=False
[gpt2l] roman           600 tok   104.9s    5.7 tok/s  eos=False
[gpt2l] balanced        600 tok   104.7s    5.7 tok/s  eos=False
[gpt2l] transpose       600 tok   105.0s    5.7 tok/s  eos=False
[gpt2l] rle             600 tok   104.9s    5.7 tok/s  eos=False
[gpt2l] dedup           600 tok   104.2s    5.8 tok/s  eos=False
[gpt2l] gcd             600 tok   104.6s    5.7 tok/s  eos=False
[gpt2l] quicksort       600 tok   104.6s    5.7 tok/s  eos=False
[gpt2l] tree_walk       600 tok   104.7s    5.7 tok/s  eos=False
[gpt2l] json_walk       600 tok   105.3s    5.7 tok/s  eos=False
[gpt2l] email           600 tok   105.1s    5.7 tok/s  eos=False
[gpt2l] temp            600 tok   104.6s    5.7 tok/s  eos=False
[gpt2l] reverse_words   600 tok   104.7s    5.7 tok/s  eos=False
[gpt2l] anagram         600 tok   105.0s    5.7 tok/s  eos=False
[gpt2l] pascal          600 tok   104.8s    5.7 tok/s  eos=False
[gpt2l] chunk           600 tok   105.0s    5.7 tok/s  eos=False
[gpt2l] 完成 → D:\Test\UR\csrc\ast_ur\data\gen_gpt2l.jsonl
