model,pid,n_new,eos,coverage,n_stmts,tok_min,tok_cross,ast4_min,ast4_abs,ast4_rel,ast8_min,ast8_abs,ast8_rel,ast16_min,ast16_abs,ast16_rel,tokUR_at_ast_cross,verdict
qwen,merge_sort,600,False,1.0,78,0.531,,0.5,,,0.375,130,,0.375,152,,0.719,只AST崩
qwen,binary_search,600,False,0.985,62,0.531,,1.0,,,0.875,,,0.75,,,,都健康
qwen,fibonacci,600,False,0.988,72,0.469,,1.0,,,1.0,,,0.75,,,,都健康
qwen,parse_csv,117,True,1.0,16,0.75,,1.0,,,0.875,,,0.875,,,,都健康
qwen,word_freq,50,True,1.0,9,0.5,,1.0,,,1.0,,,,,,,都健康
qwen,flatten,36,True,1.0,8,0.75,,1.0,,,1.0,,,,,,,都健康
qwen,stack_class,554,True,1.0,40,0.406,,0.25,552,552,0.625,,,0.688,,,,都健康
qwen,lru_cache,600,False,0.987,76,0.344,,0.5,,,0.25,113,113,0.125,138,163,0.375,只AST崩
qwen,prime_sieve,600,False,1.0,78,0.594,,0.75,,,0.375,130,130,0.188,162,185,0.594,只AST崩
qwen,roman,349,True,1.0,25,0.406,,1.0,,,1.0,,,0.875,,,,都健康
qwen,balanced,45,True,1.0,11,0.656,,1.0,,,1.0,,,,,,,都健康
qwen,transpose,26,True,1.0,3,,,,,,,,,,,,,都健康
qwen,rle,600,False,0.978,84,0.531,,0.75,,,0.875,,,0.812,,,,都健康
qwen,dedup,36,True,1.0,9,0.625,,0.75,,,0.875,,,,,,,都健康
qwen,gcd,113,True,1.0,14,0.531,,0.75,,,0.75,,,,,,,都健康
qwen,quicksort,600,False,0.975,39,0.281,578,0.75,,,0.375,248,248,0.188,313,298,0.75,AST先崩
qwen,tree_walk,600,False,0.99,95,0.469,,0.5,,,0.625,,,0.438,94,,,都健康
qwen,json_walk,54,True,1.0,10,0.531,,0.75,,,0.875,,,,,,,都健康
qwen,email,27,True,1.0,7,,,0.5,,,,,,,,,,都健康
qwen,temp,149,True,1.0,16,0.688,,0.75,,,0.625,,,0.688,,,,都健康
qwen,reverse_words,30,True,1.0,6,,,1.0,,,,,,,,,,都健康
qwen,anagram,88,True,1.0,9,0.625,,0.75,,,0.75,,,,,,,都健康
qwen,pascal,135,True,1.0,18,0.594,,1.0,,,1.0,,,0.938,,,,都健康
qwen,chunk,22,True,1.0,4,,,1.0,,,,,,,,,,都健康
gpt2,merge_sort,600,False,0.682,45,0.438,,0.5,,,0.25,94,,0.125,185,,0.438,只AST崩
gpt2,binary_search,600,False,0.516,32,0.5,,0.25,67,,0.125,107,,0.062,267,,0.5,只AST崩
gpt2,fibonacci,600,False,0.946,0,0.469,,,,,,,,,,,,都健康
gpt2,parse_csv,600,False,0.511,24,0.688,,0.25,79,,0.125,160,,0.062,376,,0.688,只AST崩
gpt2,word_freq,600,False,0.966,54,0.594,,0.5,,,0.25,67,,0.125,159,,0.594,只AST崩
gpt2,flatten,600,False,0.982,56,0.562,,0.5,,,0.25,64,,0.125,152,,0.562,只AST崩
gpt2,stack_class,600,False,0.984,62,0.25,47,0.25,57,57,0.125,77,97,0.062,137,177,0.25,token先崩
gpt2,lru_cache,600,False,0.979,46,0.312,,0.25,59,59,0.125,87,115,0.062,185,227,0.312,只AST崩
gpt2,prime_sieve,600,False,0.98,48,0.688,,0.75,,,0.375,76,,0.188,193,,0.844,只AST崩
gpt2,roman,600,False,0.509,28,0.625,,0.25,67,,0.125,136,,0.062,320,,0.625,只AST崩
gpt2,balanced,600,False,0.509,29,0.594,,0.25,64,,0.125,130,,0.062,306,,0.594,只AST崩
gpt2,transpose,600,False,0.982,56,0.531,,0.5,,,0.25,64,,0.125,152,,0.531,只AST崩
gpt2,rle,600,False,0.51,25,0.625,,0.25,76,,0.125,154,,0.062,362,,0.625,只AST崩
gpt2,dedup,600,False,0.509,29,0.562,,0.25,64,,0.125,130,,0.062,306,,0.562,只AST崩
gpt2,gcd,600,False,0.98,48,0.688,,0.5,,,0.25,76,,0.125,180,,0.688,只AST崩
gpt2,quicksort,600,False,0.017,1,0.531,,,,,,,,,,,,都健康
gpt2,tree_walk,600,False,0.755,36,0.5,,0.5,,,0.375,110,,0.188,243,,0.688,只AST崩
gpt2,json_walk,600,False,0.51,25,0.688,,0.25,76,,0.125,154,,0.062,362,,0.688,只AST崩
gpt2,email,600,False,0.51,51,0.281,59,0.25,72,72,0.125,72,120,0.062,168,216,0.281,token先崩
gpt2,temp,600,False,0.98,48,0.656,,0.5,,,0.25,76,,0.125,180,,0.656,只AST崩
gpt2,reverse_words,600,False,0.419,26,0.375,,0.25,98,,0.125,148,,0.062,348,,0.406,只AST崩
gpt2,anagram,600,False,0.519,27,0.594,,0.25,70,,0.125,142,,0.062,334,,0.594,只AST崩
gpt2,pascal,600,False,0.52,26,0.688,,0.25,73,,0.125,148,,0.062,348,,0.688,只AST崩
gpt2,chunk,600,False,0.977,85,0.188,50,0.25,47,,0.125,54,,0.062,110,,0.281,token先崩
