model,pid,r1_verdict,eos,coverage,n_stmts,kind,p_stmt,cycles,unit,cycle_types,d_stmt,L_tok,D_tok,pred_floor,tail_tokmin,tok_min,pred_tok_alarm,act_tok_alarm,line_p,line_cycles,line_L,literal,pred_ast4,act_ast4,pred_ast8,act_ast8,pred_ast16,act_ast16
qwen,merge_sort,只AST崩,False,1.0,78,quasi,3,12.0,block,AugAssignx2+Expr,2,21,16,0.5,0.531,0.531,N,N,,,,N,N,N,Y,Y,Y,Y
qwen,binary_search,都健康,False,0.985,62,strict,12,2.0,function,Ifx4+Returnx4+Assignx2+FunctionDef+Expr,12,129,54,,0.594,0.531,N,N,,,,N,N,N,N,N,N,N
qwen,fibonacci,都健康,False,0.988,72,,,,,,,,,,,0.469,,N,23,3.4,181,Y,,N,,N,,N
qwen,parse_csv,都健康,True,1.0,16,,,,,,,,,,,0.75,,N,,,,,,N,,N,,N
qwen,word_freq,都健康,True,1.0,9,,,,,,,,,,,0.5,,N,,,,,,N,,N,,N
qwen,flatten,都健康,True,1.0,8,,,,,,,,,,,0.75,,N,,,,,,N,,N,,N
qwen,stack_class,都健康,True,1.0,40,,,,,,,,,,,0.406,,N,,,,,,Y,,N,,N
qwen,lru_cache,只AST崩,False,0.987,76,strict,3,20.7,block,Exprx3,2,25,12,0.375,0.375,0.344,N,N,3,20.7,25,Y,N,N,Y,Y,Y,Y
qwen,prime_sieve,只AST崩,False,1.0,78,strict,3,23.0,function,FunctionDef+Expr+Return,3,23,19,0.594,0.594,0.594,N,N,3,23.0,23,Y,N,N,Y,Y,Y,Y
qwen,roman,都健康,True,1.0,25,,,,,,,,,,,0.406,,N,,,,,,N,,N,,N
qwen,balanced,都健康,True,1.0,11,,,,,,,,,,,0.656,,N,,,,,,N,,N,,N
qwen,transpose,都健康,True,1.0,3,,,,,,,,,,,,,N,,,,,,N,,N,,N
qwen,rle,都健康,False,0.978,84,,,,,,,,,,,0.531,,N,32,2.8,,Y,,N,,N,,N
qwen,dedup,都健康,True,1.0,9,,,,,,,,,,,0.625,,N,,,,,,N,,N,,N
qwen,gcd,都健康,True,1.0,14,,,,,,,,,,,0.531,,N,,,,,,N,,N,,N
qwen,quicksort,AST先崩,False,0.975,39,strict,3,8.0,function,FunctionDef+Expr+Return,3,57,35,,0.281,0.281,N,Y,,,,N,N,N,Y,Y,Y,Y
qwen,tree_walk,都健康,False,0.99,95,strict,12,6.0,function,Exprx4+Ifx3+Assignx2+FunctionDef+Return+While,10,77,42,,0.469,0.469,N,N,,,,N,N,N,N,N,N,Y
qwen,json_walk,都健康,True,1.0,10,,,,,,,,,,,0.531,,N,,,,,,N,,N,,N
qwen,email,都健康,True,1.0,7,,,,,,,,,,,,,N,,,,,,N,,N,,N
qwen,temp,都健康,True,1.0,16,strict,3,2.0,block,Assignx2+Expr,3,42,31,,0.688,0.688,N,N,,,,N,N,N,Y,N,Y,N
qwen,reverse_words,都健康,True,1.0,6,,,,,,,,,,,,,N,,,,,,N,,N,,N
qwen,anagram,都健康,True,1.0,9,,,,,,,,,,,0.625,,N,,,,,,N,,N,,N
qwen,pascal,都健康,True,1.0,18,,,,,,,,,,,0.594,,N,,,,,,N,,N,,N
qwen,chunk,都健康,True,1.0,4,,,,,,,,,,,,,N,,,,,,N,,N,,N
gpt2,merge_sort,只AST崩,False,0.682,45,strict,2,21.5,block,Return+Expr,2,28,14,0.438,0.438,0.438,N,N,3,21.3,28,Y,N,N,Y,Y,Y,Y
gpt2,binary_search,只AST崩,False,0.516,32,strict,1,30.0,statement,Return,1,20,16,0.5,0.5,0.5,N,N,2,30.0,20,Y,Y,Y,Y,Y,Y,Y
gpt2,fibonacci,都健康,False,0.946,0,,,,,,,,,,,0.469,,N,2,14.0,23,Y,,N,,N,,N
gpt2,parse_csv,只AST崩,False,0.511,24,strict,1,23.0,statement,Expr,1,27,22,0.688,0.688,0.688,N,N,2,23.0,27,Y,Y,Y,Y,Y,Y,Y
gpt2,word_freq,只AST崩,False,0.966,54,strict,2,27.0,function,FunctionDef+Expr,2,23,19,0.594,0.594,0.594,N,N,1,26.0,23,Y,N,N,Y,Y,Y,Y
gpt2,flatten,只AST崩,False,0.982,56,strict,2,28.0,function,FunctionDef+Expr,2,22,18,0.562,0.562,0.562,N,N,2,28.0,22,Y,N,N,Y,Y,Y,Y
gpt2,stack_class,token先崩,False,0.984,62,strict,1,58.0,statement,Expr,1,10,8,0.25,0.25,0.25,Y,Y,1,58.0,10,Y,Y,Y,Y,Y,Y,Y
gpt2,lru_cache,只AST崩,False,0.979,46,strict,1,42.0,statement,Expr,1,14,10,0.312,0.312,0.312,N,N,1,41.0,14,Y,Y,Y,Y,Y,Y,Y
gpt2,prime_sieve,只AST崩,False,0.98,48,strict,3,16.0,function,FunctionDef+Expr+Return,3,39,29,,0.688,0.688,N,N,3,16.3,39,Y,N,N,Y,Y,Y,Y
gpt2,roman,只AST崩,False,0.509,28,strict,1,27.0,statement,Expr,1,23,20,0.625,0.625,0.625,N,N,2,26.0,23,Y,Y,Y,Y,Y,Y,Y
gpt2,balanced,只AST崩,False,0.509,29,strict,1,28.0,statement,Expr,1,22,19,0.594,0.594,0.594,N,N,2,27.0,22,Y,Y,Y,Y,Y,Y,Y
gpt2,transpose,只AST崩,False,0.982,56,strict,2,28.0,function,FunctionDef+Expr,2,22,17,0.531,0.531,0.531,N,N,2,28.0,22,Y,N,N,Y,Y,Y,Y
