model,cond,pid,eos,coverage,n_stmts,kind,p_stmt,cycles,unit,literal,d_stmt,L_tok,D_tok,pred_floor,tail_tokmin,tok_min,line_p,line_L,L_eff,anyaxis,degen
qwen,greedy,merge_sort,False,1.0,78.0,quasi,3.0,12.0,block,N,2.0,21.0,16.0,0.5,0.531,0.531,,,21.0,True,True
qwen,greedy,binary_search,False,0.985,62.0,strict,12.0,2.0,function,N,12.0,129.0,54.0,,0.594,0.531,,,129.0,True,True
qwen,greedy,fibonacci,False,0.988,72.0,,,,,Y,,,,,,0.469,23.0,181.0,181.0,True,True
qwen,greedy,parse_csv,True,1.0,16.0,,,,,,,,,,,0.75,,,,False,False
qwen,greedy,word_freq,True,1.0,9.0,,,,,,,,,,,0.5,,,,False,False
qwen,greedy,flatten,True,1.0,8.0,,,,,,,,,,,0.75,,,,False,False
qwen,greedy,stack_class,True,1.0,40.0,,,,,,,,,,,0.406,,,,False,False
qwen,greedy,lru_cache,False,0.987,76.0,strict,3.0,20.7,block,Y,2.0,25.0,12.0,0.375,0.375,0.344,3.0,25.0,25.0,True,True
qwen,greedy,prime_sieve,False,1.0,78.0,strict,3.0,23.0,function,Y,3.0,23.0,19.0,0.594,0.594,0.594,3.0,23.0,23.0,True,True
qwen,greedy,roman,True,1.0,25.0,,,,,,,,,,,0.406,,,,False,False
qwen,greedy,balanced,True,1.0,11.0,,,,,,,,,,,0.656,,,,False,False
qwen,greedy,transpose,True,1.0,3.0,,,,,,,,,,,,,,,False,False
qwen,greedy,rle,False,0.978,84.0,,,,,Y,,,,,,0.531,32.0,,,True,True
qwen,greedy,dedup,True,1.0,9.0,,,,,,,,,,,0.625,,,,False,False
qwen,greedy,gcd,True,1.0,14.0,,,,,,,,,,,0.531,,,,False,False
qwen,greedy,quicksort,False,0.975,39.0,strict,3.0,8.0,function,N,3.0,57.0,35.0,,0.281,0.281,,,57.0,True,True
qwen,greedy,tree_walk,False,0.99,95.0,strict,12.0,6.0,function,N,10.0,77.0,42.0,,0.469,0.469,,,77.0,True,True
qwen,greedy,json_walk,True,1.0,10.0,,,,,,,,,,,0.531,,,,False,False
qwen,greedy,email,True,1.0,7.0,,,,,,,,,,,,,,,False,False
qwen,greedy,temp,True,1.0,16.0,strict,3.0,2.0,block,N,3.0,42.0,31.0,,0.688,0.688,,,42.0,True,False
