model,cond,pid,eos,n_new,coverage,n_stmts,tok_cross,ast4,ast8,ast16,kind,p_stmt,cycles,unit,d_stmt,L,D,tail_tokmin,line_p,line_L,line_D,literal,L_eff,D_eff,anyaxis,degen
gpt2,greedy,merge_sort,False,600,0.682,45,,,94,185,strict,2,21.5,block,2,28,14,0.438,3,28,14,Y,28,14,True,True
gpt2,greedy,binary_search,False,600,0.516,32,,67,107,267,strict,1,30.0,statement,1,20,16,0.5,2,20,16,Y,20,16,True,True
gpt2,greedy,fibonacci,False,600,0.946,0,,,,,,,,,,,,,2,23,17,Y,23,17,True,True
gpt2,greedy,parse_csv,False,600,0.511,24,,79,160,376,strict,1,23.0,statement,1,27,22,0.688,2,27,22,Y,27,22,True,True
gpt2,greedy,word_freq,False,600,0.966,54,,,67,159,strict,2,27.0,function,2,23,19,0.594,1,23,19,Y,23,19,True,True
gpt2,greedy,flatten,False,600,0.982,56,,,64,152,strict,2,28.0,function,2,22,18,0.562,2,22,18,Y,22,18,True,True
gpt2,greedy,stack_class,False,600,0.984,62,47,57,77,137,strict,1,58.0,statement,1,10,8,0.25,1,10,8,Y,10,8,True,True
gpt2,greedy,lru_cache,False,600,0.979,46,,59,87,185,strict,1,42.0,statement,1,14,10,0.312,1,14,10,Y,14,10,True,True
gpt2,greedy,prime_sieve,False,600,0.98,48,,,76,193,strict,3,16.0,function,3,39,29,0.688,3,39,29,Y,39,29,True,True
gpt2,greedy,roman,False,600,0.509,28,,67,136,320,strict,1,27.0,statement,1,23,20,0.625,2,23,20,Y,23,20,True,True
gpt2,greedy,balanced,False,600,0.509,29,,64,130,306,strict,1,28.0,statement,1,22,19,0.594,2,22,19,Y,22,19,True,True
gpt2,greedy,transpose,False,600,0.982,56,,,64,152,strict,2,28.0,function,2,22,17,0.531,2,22,17,Y,22,17,True,True
gpt2,greedy,rle,False,600,0.51,25,,76,154,362,strict,1,24.0,statement,1,26,20,0.625,2,26,20,Y,26,20,True,True
gpt2,greedy,dedup,False,600,0.509,29,,64,130,306,strict,1,28.0,statement,1,22,18,0.562,2,22,18,Y,22,18,True,True
gpt2,greedy,gcd,False,600,0.98,48,,,76,180,strict,2,24.0,function,2,26,22,0.688,2,26,22,Y,26,22,True,True
gpt2,greedy,quicksort,False,600,0.017,1,,,,,,,,,,,,,2,21,17,Y,21,17,True,True
gpt2,greedy,tree_walk,False,600,0.755,36,,,110,243,strict,3,10.7,block,3,53,28,0.562,4,53,28,Y,53,28,True,True
gpt2,greedy,json_walk,False,600,0.51,25,,76,154,362,strict,1,24.0,statement,1,26,22,0.688,2,26,22,Y,26,22,True,True
gpt2,greedy,email,False,600,0.51,51,59,72,72,168,strict,1,47.0,statement,1,12,9,0.281,2,12,9,Y,12,9,True,True
gpt2,greedy,temp,False,600,0.98,48,,,76,180,strict,2,24.0,function,2,26,21,0.656,2,26,21,Y,26,21,True,True
gpt2,greedy,reverse_words,False,600,0.419,26,,98,148,348,strict,1,24.0,statement,1,16,11,0.375,5,50,21,Y,16,11,True,True
gpt2,greedy,anagram,False,600,0.519,27,,70,142,334,strict,1,26.0,statement,1,24,19,0.594,2,24,19,Y,24,19,True,True
gpt2,greedy,pascal,False,600,0.52,26,,73,148,348,strict,1,25.0,statement,1,25,22,0.688,2,25,22,Y,25,22,True,True
gpt2,greedy,chunk,False,600,0.977,85,50,47,54,110,strict,1,82.0,statement,1,7,6,0.188,1,7,6,Y,7,6,True,True
gpt2m,greedy,merge_sort,False,600,0.214,3,176,,,,,,,,,,,,,,,,,,False,False
gpt2m,greedy,binary_search,False,600,0.5,29,,,132,267,strict,3,9.3,block,3,68,35,0.5,6,68,35,Y,68,35,True,True
gpt2m,greedy,fibonacci,False,600,0.512,42,,58,88,208,strict,1,40.0,statement,1,15,11,0.344,2,15,11,Y,15,11,True,True
gpt2m,greedy,parse_csv,False,600,0.239,11,379,,222,,strict,2,5.0,block,2,78,40,0.406,,,,N,78,40,True,True
gpt2m,greedy,word_freq,False,600,0.033,2,,,,,,,,,,,,,3,31,20,Y,31,20,True,True
gpt2m,greedy,flatten,False,600,0.516,32,,58,118,278,strict,1,31.0,statement,1,20,17,0.531,2,20,17,Y,20,17,True,True
gpt2m,greedy,stack_class,False,600,0.979,46,,62,90,188,strict,1,42.0,statement,1,14,11,0.406,,,,N,14,11,True,True
gpt2m,greedy,lru_cache,False,600,0.952,40,,74,90,202,strict,1,36.0,statement,1,16,10,0.344,2,32,11,Y,16,10,True,True
gpt2m,greedy,prime_sieve,False,600,0.513,20,,97,196,460,strict,1,19.0,statement,1,33,27,0.812,4,66,28,Y,33,27,True,True
gpt2m,greedy,roman,False,600,0.672,41,,,91,215,strict,2,20.0,block,2,31,23,0.719,3,31,23,Y,31,23,True,True
gpt2m,greedy,balanced,False,600,0.614,43,,,109,201,strict,3,14.0,block,3,44,24,0.531,5,44,24,Y,44,24,True,True
gpt2m,greedy,transpose,False,600,0.675,52,,,70,166,strict,2,25.0,block,2,24,18,0.562,3,24,18,Y,24,18,True,True
gpt2m,greedy,rle,False,600,0.677,42,,,88,208,strict,2,20.0,block,2,30,22,0.688,3,30,22,Y,30,22,True,True
gpt2m,greedy,dedup,False,600,0.5,31,,85,125,285,strict,1,29.0,statement,1,20,10,0.312,2,20,10,Y,20,10,True,True
gpt2m,greedy,gcd,False,600,0.04,2,,,,,,,,,,,,,3,38,28,Y,38,28,True,True
gpt2m,greedy,quicksort,False,600,0.769,30,,,222,256,strict,3,7.7,block,3,69,30,0.375,8,146,30,Y,69,30,True,True
gpt2m,greedy,tree_walk,False,600,0.667,38,,,97,229,strict,2,18.0,block,2,33,24,0.719,3,33,24,Y,33,24,True,True
gpt2m,greedy,json_walk,False,600,0.026,2,,,,,,,,,,,,,8,65,38,Y,65,38,True,True
gpt2m,greedy,email,False,600,0.508,33,,74,112,264,strict,1,31.0,statement,1,19,14,0.438,2,19,14,Y,19,14,True,True
gpt2m,greedy,temp,False,600,0.746,44,,,97,185,strict,3,14.3,block,3,42,24,0.5,4,42,24,Y,42,24,True,True
gpt2m,greedy,reverse_words,False,600,0.667,38,,,97,229,strict,2,18.5,block,2,33,22,0.656,3,33,22,Y,33,22,True,True
gpt2m,greedy,anagram,False,600,0.505,48,,48,74,178,strict,1,46.0,statement,1,13,10,0.312,2,13,10,Y,13,10,True,True
gpt2m,greedy,pascal,False,600,0.667,14,365,,146,,strict,2,6.5,block,2,64,32,0.156,,,,N,64,32,True,True
gpt2m,greedy,chunk,False,600,0.509,29,,113,157,311,strict,1,26.0,statement,1,22,14,0.438,,,,N,22,14,True,True
gpt2l,greedy,merge_sort,False,600,0.439,29,,,124,248,strict,3,9.3,block,3,71,36,0.375,,,,N,71,36,True,True
gpt2l,greedy,binary_search,False,600,0.5,51,50,72,84,168,strict,1,47.0,statement,1,12,9,0.281,2,12,9,Y,12,9,True,True
gpt2l,greedy,fibonacci,False,600,0.512,21,,86,142,416,strict,1,19.0,statement,1,35,14,0.344,2,35,14,Y,35,14,True,True
gpt2l,greedy,parse_csv,False,600,0.022,2,,,,,,,,,,,,,4,27,15,Y,27,15,True,True
gpt2l,greedy,word_freq,False,600,0.545,6,161,,,,,,,,,,,,,,,,,,False,False
gpt2l,greedy,flatten,False,600,0.667,48,,,98,180,strict,2,23.0,block,2,26,18,0.562,3,26,18,Y,26,18,True,True
gpt2l,greedy,stack_class,False,600,0.963,52,31,53,77,161,strict,1,49.0,statement,1,12,7,0.219,1,12,7,Y,12,7,True,True
gpt2l,greedy,lru_cache,False,600,0.969,31,,107,151,283,strict,1,26.0,statement,1,22,11,0.344,1,22,11,Y,22,11,True,True
gpt2l,greedy,prime_sieve,False,600,0.538,7,234,112,,,strict,1,6.0,statement,1,42,30,0.625,,,,N,42,30,True,True
gpt2l,greedy,roman,False,600,0.522,12,240,257,208,,strict,1,6.0,statement,1,49,19,0.125,,,,N,49,19,True,True
gpt2l,greedy,balanced,False,600,0.609,14,229,,80,,strict,3,4.3,block,2,52,21,0.344,,,,N,52,21,True,True
gpt2l,greedy,transpose,False,600,0.507,38,,64,97,229,strict,1,36.0,statement,1,17,13,0.438,4,33,15,Y,17,13,True,True
gpt2l,greedy,rle,False,600,0.51,25,,76,154,362,strict,1,24.0,statement,1,26,20,0.625,2,26,20,Y,26,20,True,True
gpt2l,greedy,dedup,False,600,0.5,32,,212,155,288,strict,1,24.0,statement,1,19,14,0.438,2,19,14,Y,19,14,True,True
gpt2l,greedy,gcd,False,600,0.506,39,,62,94,222,strict,1,37.0,statement,1,16,12,0.375,2,16,12,Y,16,12,True,True
gpt2l,greedy,quicksort,False,600,0.462,24,,,248,381,strict,3,3.7,block,2,85,28,0.438,7,85,28,Y,85,28,True,True
gpt2l,greedy,tree_walk,False,600,0.517,15,239,79,167,,strict,1,14.0,statement,1,44,21,0.125,2,60,21,Y,44,21,True,True
gpt2l,greedy,json_walk,False,600,0.426,23,,,352,410,quasi,2,7.0,block,2,58,26,0.5,,,,N,58,26,True,True
gpt2l,greedy,email,False,600,0.511,23,,109,165,389,strict,1,21.0,statement,1,28,22,0.688,2,28,22,Y,28,22,True,True
gpt2l,greedy,temp,False,600,0.021,1,,,,,,,,,,,,,6,38,14,Y,38,14,True,True
gpt2l,greedy,reverse_words,False,600,0.021,1,,,,,,,,,,,,,,,,,,,False,False
gpt2l,greedy,anagram,False,600,0.547,29,,68,138,295,strict,5,4.4,block,2,108,38,0.344,9,113,38,Y,108,38,True,True
gpt2l,greedy,pascal,False,600,0.01,2,40,,,,,,,,,,,,1,3,2,Y,3,2,True,True
gpt2l,greedy,chunk,False,600,0.51,25,,,219,357,strict,3,6.7,block,2,81,22,0.406,6,81,22,Y,81,22,True,True
qwen,greedy,merge_sort,False,600,1.0,78,,,130,152,quasi,3,12.0,block,2,21,16,0.531,,,,N,21,16,True,True
qwen,greedy,binary_search,False,600,0.985,62,,,,,strict,12,2.0,function,12,129,54,0.594,,,,N,129,54,True,True
qwen,greedy,fibonacci,False,600,0.988,72,,,,,,,,,,,,,23,181,58,Y,181,58,True,True
qwen,greedy,parse_csv,True,117,1.0,16,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,word_freq,True,50,1.0,9,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,flatten,True,36,1.0,8,,,,,,,,,,,,,,,,,,,False,False
qwen,greedy,stack_class,True,554,1.0,40,,552,,,,,,,,,,,,,,,,,False,False
qwen,greedy,lru_cache,False,600,0.987,76,,,113,138,strict,3,20.7,block,2,25,12,0.375,3,25,12,Y,25,12,True,True
